captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,numRunoff,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.21134.first,candidates.21134.last,candidates.21134.party,candidates.21134.incumbent,candidates.21134.candidateID,candidates.21134.polID,candidates.21134.ballotOrder,candidates.21134.polNum,candidates.21134.electWon,candidates.22555.first,candidates.22555.last,candidates.22555.party,candidates.22555.candidateID,candidates.22555.polID,candidates.22555.ballotOrder,candidates.22555.polNum,candidates.22555.electWon,candidates.23070.first,candidates.23070.last,candidates.23070.party,candidates.23070.candidateID,candidates.23070.polID,candidates.23070.ballotOrder,candidates.23070.polNum,candidates.23070.electWon,candidates.21134.winnerDateTime
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4197056,99,3533107,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667968182,2022-11-08 22:29:42 -0600,8e189a9f8e65ddc0a78641bf1d30b4fa1f53a113,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4197056,99,3604040,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667969116,2022-11-08 22:45:16 -0600,79682069eac6cae3840febac265b40363b9c51ff,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4197056,99,3605519,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667969810,2022-11-08 22:56:50 -0600,b4af1c5ed222b2aca51b198a04f7adfc76d9c4e9,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4197056,99,3639151,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667970637,2022-11-08 23:10:37 -0600,879713b6aae904f8cc55b1a8c3ce99346dd39ab3,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4197056,99,3723350,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667971482,2022-11-08 23:24:42 -0600,23c628a73988ac759f27061cca400c61ae3577c8,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4197056,99,3749618,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667972264,2022-11-08 23:37:44 -0600,32512d68a8869811d6b4c587f4ea396147ae27a4,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4010260,99,3813277,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667972308,2022-11-08 23:38:28 -0600,ba9f5f7b5ce443fdefcabab3b6292f3cd1310af6,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4197056,99,3749618,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667972364,2022-11-08 23:39:24 -0600,bfe9cb466aa6b65574c16effa903cd993efd4fe0,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4010260,99,3813277,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667973204,2022-11-08 23:53:24 -0600,9ca1adc2a96ccb8173cfd35380377368538cfb03,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4010260,99,3836567,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,2022-11-09T05:45:42.331Z
