captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.10826.first,candidates.10826.last,candidates.10826.abbrv,candidates.10826.party,candidates.10826.candidateID,candidates.10826.ballotOrder,candidates.10826.polID,candidates.10826.polNum,candidates.10826.electWon,candidates.10829.first,candidates.10829.last,candidates.10829.party,candidates.10829.candidateID,candidates.10829.ballotOrder,candidates.10829.polID,candidates.10829.polNum,candidates.10829.electWon,candidates.11173.first,candidates.11173.last,candidates.11173.party,candidates.11173.candidateID,candidates.11173.ballotOrder,candidates.11173.polID,candidates.11173.polNum,candidates.11173.electWon,candidates.11174.first,candidates.11174.last,candidates.11174.party,candidates.11174.candidateID,candidates.11174.ballotOrder,candidates.11174.polID,candidates.11174.polNum,candidates.11174.electWon,candidates.10829.winnerDateTime,isCertified
1667974357,2022-11-09 00:12:37 -0600,f3a34debf9bc3f3d09633b4380781add88e0174a,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2305000,99,2055677,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667983389,2022-11-09 02:43:09 -0600,1ddd3dfbd0a60636dc0989de2dbe39844110e2a9,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2305000,99,2061753,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667983429,2022-11-09 02:43:49 -0600,91ad4bfbba7a9cd52231076db531ea20d83a9660,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2305000,99,2055677,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1667983471,2022-11-09 02:44:31 -0600,70d36d9850461d49fa32ba3e867341f797936529,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2305000,99,2061753,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1668035049,2022-11-09 17:04:09 -0600,bff087a16a7b280445ae4738ddb66814d22774a9,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2082579,99,2061753,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1668115252,2022-11-10 15:20:52 -0600,8fb61709708260d283c3631bf6d68ba4c35f7785,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2082579,99,2061765,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,2022-11-09T03:12:57.137Z,
1670618269,2022-12-09 14:37:49 -0600,9bbc2bac587fc18fb5484b985d11a13337a6cf5d,MO-20221108_Eday80,26,General,G,Gathering Certified Results,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2063849,100,2061765,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,,Eric,Schmitt,GOP,10829,2,71321,30419,,Paul,Venable,CST,11173,4,71741,31678,,Jonathan,Dine,Lib,11174,3,61086,30176,,2022-11-09T03:12:57.137Z,False
1670619488,2022-12-09 14:58:08 -0600,a717a06bee53d3466a4ef02df3907704d9e766e8,MO-20221108_Eday80,26,General,G,Gathering Certified Results,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2069089,100,2061765,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,,Eric,Schmitt,GOP,10829,2,71321,30419,,Paul,Venable,CST,11173,4,71741,31678,,Jonathan,Dine,Lib,11174,3,61086,30176,,2022-11-09T03:12:57.137Z,False
1670623449,2022-12-09 16:04:09 -0600,24a0502da23a3ab37d3abff869c1b647a01edce3,MO-20221108_Eday80,26,General,G,Gathering Certified Results,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2070006,100,2061765,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,,Eric,Schmitt,GOP,10829,2,71321,30419,,Paul,Venable,CST,11173,4,71741,31678,,Jonathan,Dine,Lib,11174,3,61086,30176,,2022-11-09T03:12:57.137Z,False
1670650331,2022-12-09 23:32:11 -0600,7e0b90386f37f3794e01b071422df600d0db3d10,MO-20221108_Eday80,26,General,G,Gathering Certified Results,Called,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2069089,100,2061765,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,,Eric,Schmitt,GOP,10829,2,71321,30419,,Paul,Venable,CST,11173,4,71741,31678,,Jonathan,Dine,Lib,11174,3,61086,30176,,2022-11-09T03:12:57.137Z,False
