captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.38902.first,candidates.38902.last,candidates.38902.abbrv,candidates.38902.incumbent,candidates.38902.party,candidates.38902.candidateID,candidates.38902.ballotOrder,candidates.38902.polID,candidates.38902.polNum,candidates.38902.electWon,candidates.39227.first,candidates.39227.last,candidates.39227.abbrv,candidates.39227.party,candidates.39227.candidateID,candidates.39227.ballotOrder,candidates.39227.polID,candidates.39227.polNum,candidates.39227.electWon,candidates.38902.winnerDateTime
1668018759,2022-11-09 12:32:39 -0600,9aea45c33471e738804dfe919e717b56c6e2642b,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,227726,98,229472,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668026482,2022-11-09 14:41:22 -0600,191255bc047895b7ba46e2ba1025d9f893f2ac5a,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,233614,98,229472,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668040877,2022-11-09 18:41:17 -0600,cbe3b07a57aa0552bbfe633c3fd90d177270af5b,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,233614,98,229777,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668040918,2022-11-09 18:41:58 -0600,233af415c7815631e0f34bb51de0bf01ef89ed5c,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,233614,98,229472,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668040961,2022-11-09 18:42:41 -0600,27f33aef259e3e8af2fa9feb021dd18b5c007aa3,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,233614,98,229777,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668047646,2022-11-09 20:34:06 -0600,27299ad1e40dce5077bc21a5c69aed87cc69d0c9,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,233910,98,229777,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668047731,2022-11-09 20:35:31 -0600,2189e84dd70525c08c597f552cdaa04b71a67a2e,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,233614,98,229777,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668047815,2022-11-09 20:36:55 -0600,1b592de8e1dc701c2133f083667e26340c416c66,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,233910,98,229777,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668047900,2022-11-09 20:38:20 -0600,f43ded6985e388a4b7df7313155cea8961edcd7d,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,233614,98,229777,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1668047944,2022-11-09 20:39:04 -0600,304c0d418c2b6119f26c977789530f3b1d6aeb45,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,233910,98,229777,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
