captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.38016.last,candidates.38016.party,candidates.38016.candidateID,candidates.38016.ballotOrder,candidates.38016.polID,candidates.38016.polNum,candidates.38016.electWon,candidates.38017.last,candidates.38017.party,candidates.38017.candidateID,candidates.38017.ballotOrder,candidates.38017.polID,candidates.38017.polNum,candidates.38017.electWon,raceCallStatus,candidates.38016.winnerDateTime
1667981404,2022-11-09 02:10:04 -0600,e09740c31d10d15245b40b33933c939d855e3457,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3355815,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667982318,2022-11-09 02:25:18 -0600,d78896390711a8466dc4ef9e83dee06bc896d9df,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3390939,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,Called,2022-11-09T08:13:09.373Z
1667982715,2022-11-09 02:31:55 -0600,adeb1bd568c98eed36a0f10c8c3df06cf197a331,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3396558,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,Called,2022-11-09T08:13:09.373Z
1667982754,2022-11-09 02:32:34 -0600,7ca68f8ef320b98b699412f31fe7addeef9565e0,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3390939,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,Called,2022-11-09T08:13:09.373Z
1667982992,2022-11-09 02:36:32 -0600,4ebc14952587d9571e07302724c316675b0c2e42,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3396558,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,Called,2022-11-09T08:13:09.373Z
1667983071,2022-11-09 02:37:51 -0600,84bbf1af0bb96f095aaf2f6f55e9d106638797ad,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3403177,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,Called,2022-11-09T08:13:09.373Z
1667983921,2022-11-09 02:52:01 -0600,e28a6eb225402fb173e795ae259b4d56ced3a40a,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3629672,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,Called,2022-11-09T08:13:09.373Z
1667984848,2022-11-09 03:07:28 -0600,e9b16afb9db085ca2bb568866869f7546b9f3f94,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3639746,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,Called,2022-11-09T08:13:09.373Z
1667985683,2022-11-09 03:21:23 -0600,8d6490b73382f2ed58c3fbdb846897b79d79f217,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3640518,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,Called,2022-11-09T08:13:09.373Z
1667985822,2022-11-09 03:23:42 -0600,fe208075ec8f2013e218507464df245c10479ee1,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3665554,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,Called,2022-11-09T08:13:09.373Z
1667986510,2022-11-09 03:35:10 -0600,acecbdfc9911e82977e1f99d23cbbf9908265bd5,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3676145,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,Called,2022-11-09T08:13:09.373Z
1667987403,2022-11-09 03:50:03 -0600,eef7197364d0afbe2fb1aa00d4cd30fccd721d19,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,3695342,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,Called,2022-11-09T08:13:09.373Z
