captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.22632.first,candidates.22632.last,candidates.22632.abbrv,candidates.22632.party,candidates.22632.candidateID,candidates.22632.polID,candidates.22632.ballotOrder,candidates.22632.polNum,candidates.22632.electWon,candidates.22638.first,candidates.22638.last,candidates.22638.abbrv,candidates.22638.party,candidates.22638.candidateID,candidates.22638.polID,candidates.22638.ballotOrder,candidates.22638.polNum,candidates.22638.electWon,candidates.22638.winnerDateTime
1667979192,2022-11-09 01:33:12 -0600,bdaf4fc12fe65f7bcce0f8063c33ccd41427f273,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,320428,99,318956,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667979231,2022-11-09 01:33:51 -0600,0aac9649608b65a23e9855cf5cacd405130eb626,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,322857,99,318956,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667980354,2022-11-09 01:52:34 -0600,b95b3aa03864d3aa8e20ef68881e81d2ed7e17c2,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,322857,99,320130,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667984402,2022-11-09 03:00:02 -0600,555c6c1c19b6031d93d1a0906788ce779bfb8929,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,322857,99,324768,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1667999156,2022-11-09 07:05:56 -0600,5c16ad99df9e5571e450c11970ca597d56b2f27a,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,328048,99,324768,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1668013852,2022-11-09 11:10:52 -0600,5b03d2479cae36edb330a0b15975e2491ca134c4,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,328048,99,332087,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1668016367,2022-11-09 11:52:47 -0600,a5646ecd803051dafdf54d504e1f2df15091e93b,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,328727,99,332087,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1668091762,2022-11-10 08:49:22 -0600,137c8c0be700d080eb92b6623f1d8d6d89457c16,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,335441,99,332087,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1668529630,2022-11-15 10:27:10 -0600,0d3aa3c622cd4d1062d3637771e4a5e56b88057f,GA-20221108_Eday81,11,General,G,Tabulation Paused,Called,H,U.S. House,True,District 6,6,335441,99,332211,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1668537148,2022-11-15 12:32:28 -0600,d7dd91db11de5aea99efd6b0d6828009525eaf03,GA-20221108_Eday81,11,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 6,6,335441,99,332211,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1668549209,2022-11-15 15:53:29 -0600,017af7d22d54136c9ddfe5f734bea2fd8c15c861,GA-20221108_Eday81,11,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 6,6,335441,99,332335,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1669068357,2022-11-21 16:05:57 -0600,6f3268774fe2fc6588230964c705314e06d1e1f8,GA-20221108_Eday81,11,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 6,6,332479,100,332335,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
1669071680,2022-11-21 17:01:20 -0600,6f01e753f9cddcda0973b8ac892f60187ddf8a6d,GA-20221108_Eday81,11,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 6,6,332498,100,332335,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,2022-11-09T03:56:45.071Z
